Stack,Action
" . LexToken(INT,'int',1,0)", Shift and goto state 13
" INT . LexToken(ID,'f',1,4)", Reduce rule [Type -> INT] with ['int'] and goto state 8
" Type . LexToken(ID,'f',1,4)", Shift and goto state 19
" Type ID . LexToken(LEFTPAREN,'(',1,5)", Shift and goto state 26
" Type ID LEFTPAREN . LexToken(RIGHTPAREN,')',1,6)", Shift and goto state 38
" Type ID LEFTPAREN RIGHTPAREN . LexToken(LEFTBRACE,'{',1,8)", Shift and goto state 62
 Type ID LEFTPAREN RIGHTPAREN LEFTBRACE . error,
 Type ID LEFTPAREN . error,
 Type . error,
" . LexToken(CLASS,'class',1,14)",
" CLASS . LexToken(ID,'A',1,20)", Shift and goto state 11
" CLASS ID . LexToken(NEWLINE,'\n',1,21)", Shift and goto state 24
 CLASS . error,
" . LexToken(LEFTBRACE,'{',1,26)",
" . LexToken(STRING,'string',1,37)",
" STRING . LexToken(ID,'lastName',1,44)", Shift and goto state 16
" Type . LexToken(ID,'lastName',1,44)", Reduce rule [Type -> STRING] with ['string'] and goto state 8
" Type ID . LexToken(SEMICOLON,';',1,52)", Shift and goto state 19
" Variable . LexToken(SEMICOLON,';',1,52)"," Reduce rule [Variable -> Type ID] with [None,'lastName'] and goto state 7"
" Variable SEMICOLON . LexToken(NEWLINE,'\n',1,53)", Shift and goto state 18
 Variable . error,
" . LexToken(STRING,'string',1,63)",
" STRING . LexToken(ID,'firstName',1,70)", Shift and goto state 16
" Type . LexToken(ID,'firstName',1,70)", Reduce rule [Type -> STRING] with ['string'] and goto state 8
" Type ID . LexToken(SEMICOLON,';',1,79)", Shift and goto state 19
" Variable . LexToken(SEMICOLON,';',1,79)"," Reduce rule [Variable -> Type ID] with [None,'firstName'] and goto state 7"
" Variable SEMICOLON . LexToken(RIGHTBRACE,'}',1,80)", Shift and goto state 18
" VariableDeclaration . LexToken(RIGHTBRACE,'}',1,80)"," Reduce rule [VariableDeclaration -> Variable SEMICOLON] with [None,';'] and goto state 3"
 . error,
 . $end,
,
