Stack,Action
" . LexToken(INT,'int',1,0)", Shift and goto state 13
" INT . LexToken(ID,'fact',1,4)", Reduce rule [Type -> INT] with ['int'] and goto state 8
" Type . LexToken(ID,'fact',1,4)", Shift and goto state 19
" Type ID . LexToken(LEFTPAREN,'(',1,9)", Shift and goto state 26
" Type ID LEFTPAREN . LexToken(INT,'int',1,10)", Shift and goto state 13
" Type ID LEFTPAREN INT . LexToken(ID,'x',1,14)", Reduce rule [Type -> INT] with ['int'] and goto state 35
" Type ID LEFTPAREN Type . LexToken(ID,'x',1,14)", Shift and goto state 58
" Type ID LEFTPAREN Type ID . LexToken(RIGHTPAREN,')',1,15)"," Reduce rule [Variable -> Type ID] with [None,'x'] and goto state 39"
" Type ID LEFTPAREN Variable . LexToken(RIGHTPAREN,')',1,15)", Reduce rule [Formals -> Variable] with [None] and goto state 37
" Type ID LEFTPAREN Formals . LexToken(RIGHTPAREN,')',1,15)", Shift and goto state 60
" Type ID LEFTPAREN Formals RIGHTPAREN . LexToken(LEFTBRACE,'{',1,17)", Shift and goto state 62
 Type ID LEFTPAREN Formals RIGHTPAREN LEFTBRACE . error,
 Type ID LEFTPAREN Formals . error,
 Type ID . error,
 . error,
" . LexToken(IF,'if',1,59)",
" . LexToken(ID,'x',1,63)",
" ID . LexToken(GREATER,'>',1,64)", Shift and goto state 9
 . error,
" . LexToken(RIGHTPAREN,')',1,66)",
" . LexToken(ID,'x',1,75)",
" ID . LexToken(MULT,'*',1,77)", Shift and goto state 9
 . error,
" . LexToken(ID,'fact',1,79)", Shift and goto state 9
 ID . error,
" . LexToken(ID,'x',1,84)",
" ID . LexToken(MINUS,'-',1,85)", Shift and goto state 9
 . error,
" . LexToken(RIGHTPAREN,')',1,87)",
" . LexToken(NEWLINE,'\n',1,89)",
" . LexToken(RETURN,'return',1,99)",
" . LexToken(SEMICOLON,';',1,107)",
" . LexToken(RIGHTBRACE,'}',1,109)",
" . LexToken(VOID,'void',1,111)",
" VOID . LexToken(ID,'main',1,116)", Shift and goto state 10
" VOID ID . LexToken(LEFTPAREN,'(',1,121)", Shift and goto state 23
" VOID ID LEFTPAREN . LexToken(RIGHTPAREN,')',1,122)", Shift and goto state 30
" VOID ID LEFTPAREN RIGHTPAREN . LexToken(LEFTBRACE,'{',1,124)", Shift and goto state 43
" VOID ID LEFTPAREN RIGHTPAREN LEFTBRACE . LexToken(NEWLINE,'\n',1,125)", Shift and goto state 62
 VOID ID LEFTPAREN RIGHTPAREN . error,
 VOID ID . error,
 . error,
" . LexToken(INT,'int',1,214)",
" INT . LexToken(ID,'x',1,218)", Shift and goto state 13
" Type . LexToken(ID,'x',1,218)", Reduce rule [Type -> INT] with ['int'] and goto state 8
" Type ID . LexToken(SEMICOLON,';',1,219)", Shift and goto state 19
" Variable . LexToken(SEMICOLON,';',1,219)"," Reduce rule [Variable -> Type ID] with [None,'x'] and goto state 7"
" Variable SEMICOLON . LexToken(NEWLINE,'\n',1,220)", Shift and goto state 18
 Variable . error,
" . LexToken(INT,'int',1,225)",
" INT . LexToken(ID,'total',1,229)", Shift and goto state 13
" Type . LexToken(ID,'total',1,229)", Reduce rule [Type -> INT] with ['int'] and goto state 8
" Type ID . LexToken(SEMICOLON,';',1,234)", Shift and goto state 19
" Variable . LexToken(SEMICOLON,';',1,234)"," Reduce rule [Variable -> Type ID] with [None,'total'] and goto state 7"
" Variable SEMICOLON . LexToken(NEWLINE,'\n',1,235)", Shift and goto state 18
 Variable . error,
" . LexToken(PRINTLN,'println',1,240)",
" . LexToken(STRINGCONSTANT,'""factorial of 10 is ""',1,249)",
" . LexToken(ID,'fact',1,272)",
" ID . LexToken(LEFTPAREN,'(',1,277)", Shift and goto state 9
 . error,
" . LexToken(RIGHTPAREN,')',1,280)",
" . LexToken(STRINGCONSTANT,'"" from the recursive function""',1,283)",
" . LexToken(SEMICOLON,';',1,314)",
" . LexToken(ID,'total',1,320)",
" ID . LexToken(ASSIGN,'=',1,326)", Shift and goto state 9
 . error,
" . LexToken(SEMICOLON,';',1,329)",
" . LexToken(ID,'x',1,331)", Shift and goto state 9
 ID . error,
" . LexToken(INTCONSTANT,'1',1,335)",
" . LexToken(NEWLINE,'\n',1,337)",
" . LexToken(LEFTPAREN,'(',1,346)",
" . LexToken(ID,'x',1,350)",
" ID . LexToken(LESSEQUAL,'<=',1,351)", Shift and goto state 9
 . error,
" . LexToken(SEMICOLON,';',1,355)",
" . LexToken(LEFTBRACE,'{',1,359)",
" . LexToken(ID,'total',1,361)", Shift and goto state 9
 ID . error,
" . LexToken(ID,'total',1,369)",
" ID . LexToken(MULT,'*',1,375)", Shift and goto state 9
 . error,
" . LexToken(ID,'x',1,377)", Shift and goto state 9
 ID . error,
" . LexToken(ID,'x',1,380)",
" ID . LexToken(ASSIGN,'=',1,382)", Shift and goto state 9
 . error,
" . LexToken(ID,'x',1,384)", Shift and goto state 9
 ID . error,
" . LexToken(INTCONSTANT,'1',1,388)",
" . LexToken(RIGHTBRACE,'}',1,391)",
" . LexToken(PRINTLN,'println',1,397)",
" . LexToken(STRINGCONSTANT,'""iterative result of 10! is ""',1,406)",
" . LexToken(ID,'total',1,437)",
